Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of B-CD-225 O-stocks O-jumped B-CD-52 X-##7 X-. X-39 O-points O-to O-close O-at B-CD-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"This contrasts with the year-ago quarter, when the company had net income of $11.7 million, or 45 cents a share, on revenue of $75.7 million.","O-This O-contrasts O-with O-the O-year X-- X-ago O-quarter O-, O-when O-the O-company O-had O-net O-income O-of O-$ B-CD-11 X-. X-7 B-CD-million O-, O-or B-CD-45 O-cents O-a O-share O-, O-on O-revenue O-of O-$ B-CD-75 X-. X-7 B-CD-million O-."
"For the nine months, Ashton-Tate had a loss of $27.6 million, or $1.05 a share.","O-For O-the B-CD-nine O-months O-, O-Ashton X-- X-Tate O-had O-a O-loss O-of O-$ B-CD-27 X-. X-6 B-CD-million O-, O-or O-$ B-CD-1 X-. X-05 O-a O-share O-."
"In the year-ago period, the company had profit of $34.3 million, or $1.32 a share.","O-In O-the O-year X-- X-ago O-period O-, O-the O-company O-had O-profit O-of O-$ B-CD-34 X-. X-3 B-CD-million O-, O-or O-$ B-CD-1 X-. X-32 O-a O-share O-."
Revenue in the period slid almost 8% to $203.2 million from about $220 million last year.,O-Revenue O-in O-the O-period O-slid O-almost B-CD-8 O-% O-to O-$ B-CD-203 X-. X-2 B-CD-million O-from O-about O-$ B-CD-220 B-CD-million O-last O-year O-.
"Edward M. Esber, chairman, president and chief executive officer, attributed the decline to reduced domestic revenue because of $4.9 million spent to upgrade existing software inventories to the new database IV Version 1.1, and $1.8 million spent on the recent reduction in work force.","O-Edward O-M X-. O-E X-##s X-##ber O-, O-chairman O-, O-president O-and O-chief O-executive O-officer O-, O-attributed O-the O-decline O-to O-reduced O-domestic O-revenue O-because O-of O-$ B-CD-4 X-. X-9 B-CD-million O-spent O-to O-upgrade O-existing O-software O-inventor X-##ies O-to O-the O-new O-database O-IV O-Version B-CD-1 X-. X-1 O-, O-and O-$ B-CD-1 X-. X-8 B-CD-million O-spent O-on O-the O-recent O-reduction O-in O-work O-force O-."
"He said the company was ""encouraged by feedback"" it received from selected customers now testing Version 1.1.","O-He O-said O-the O-company O-was O-"" O-encouraged O-by O-feedback O-"" O-it O-received O-from O-selected O-customers O-now O-testing O-Version B-CD-1 X-. X-1 O-."
"The red ink came as no surprise to Wall Street, but analysts said they saw ominous hints of a further delay in volume shipments of Version 1.1, a harbinger of continued losses in the fourth quarter.","O-The O-red O-ink O-came O-as O-no O-surprise O-to O-Wall O-Street O-, O-but O-analysts O-said O-they O-saw O-ominous O-hints O-of O-a O-further O-delay O-in O-volume O-shipment X-##s O-of O-Version B-CD-1 X-. X-1 O-, O-a O-ha X-##rb X-##inger O-of O-continued O-losses O-in O-the O-fourth O-quarter O-."
"The company said in a statement that it expects to ship new products ""during the next two quarters.""","O-The O-company O-said O-in O-a O-statement O-that O-it O-expects O-to O-ship O-new O-products O-"" O-during O-the O-next B-CD-two O-quarters O-. O-"""
"""It now looks like database IV Version 1.1 isn't going to be {widely} available until the first quarter of 1990,"" said David Bayer, an analyst with Montgomery Securities in San Francisco.","O-"" O-It O-now O-looks O-like O-database O-IV O-Version B-CD-1 X-. X-1 O-is O-n X-' X-t O-going O-to O-be O-{ O-widely O-} O-available O-until O-the O-first O-quarter O-of B-CD-1990 O-, X-"" O-said O-David O-Bay X-##er O-, O-an O-analyst O-with O-Montgomery O-Securities O-in O-San O-Francisco O-."
"In national over-the-counter trading, Ashton-Tate closed yesterday at $10 a share, up 62.5 cents.","O-In O-national O-over X-- X-the X-- X-counter O-trading O-, O-Ashton X-- X-Tate O-closed O-yesterday O-at O-$ B-CD-10 O-a O-share O-, O-up B-CD-62 X-. X-5 O-cents O-."
"Honeywell Inc. said it hopes to complete shortly the first of two sales of shares in its Japanese joint venture, Yamatake-Honeywell, for about $280 million.","O-Honey X-##well O-Inc O-. O-said O-it O-hopes O-to O-complete O-shortly O-the O-first O-of B-CD-two O-sales O-of O-shares O-in O-its O-Japanese O-joint O-venture O-, O-Ya X-##mata X-##ke X-- X-Honey X-##well O-, O-for O-about O-$ B-CD-280 B-CD-million O-."
The company wouldn't disclose the buyer of the initial 16% stake.,O-The O-company O-would O-n X-' X-t O-disc X-##lose O-the O-buyer O-of O-the O-initial B-CD-16 O-% O-stake O-.
"Proceeds of the sale, expected to be completed next week, would be used to repurchase as many as 10 million shares of Honeywell stock, the company said.","O-Pro X-##ce X-##eds O-of O-the O-sale O-, O-expected O-to O-be O-completed O-next O-week O-, O-would O-be O-used O-to O-re X-##pur X-##chase O-as O-many O-as B-CD-10 B-CD-million O-shares O-of O-Honey X-##well O-stock O-, O-the O-company O-said O-."
"Honeywell said it is negotiating the sale of a second stake in Yamatake-Honeywell, but indicated it intends to hold at least 20% of the joint venture's stock long term.","O-Honey X-##well O-said O-it O-is O-negotiating O-the O-sale O-of O-a O-second O-stake O-in O-Ya X-##mata X-##ke X-- X-Honey X-##well O-, O-but O-indicated O-it O-intends O-to O-hold O-at O-least B-CD-20 O-% O-of O-the O-joint O-venture O-' X-s O-stock O-long O-term O-."
A 20% stake would allow Honeywell to include Yamatake earnings in its results.,O-A B-CD-20 O-% O-stake O-would O-allow O-Honey X-##well O-to O-include O-Ya X-##mata X-##ke O-earnings O-in O-its O-results O-.
"Overall, Honeywell reported earnings of $74.4 million, or $1.73 a share, for the three months ended Oct. 1 compared with a loss of $41.4 million, or 98 cents a share, a year earlier.","O-Overall O-, O-Honey X-##well O-reported O-earnings O-of O-$ B-CD-74 X-. X-4 B-CD-million O-, O-or O-$ B-CD-1 X-. X-73 O-a O-share O-, O-for O-the B-CD-three O-months O-ended O-Oct X-. B-CD-1 O-compared O-with O-a O-loss O-of O-$ B-CD-41 X-. X-4 B-CD-million O-, O-or B-CD-98 O-cents O-a O-share O-, O-a O-year O-earlier O-."
The previous period's results included a $108 million pretax charge related to unrecoverable contract costs and a $12.3 million pretax gain on real estate sales.,O-The O-previous O-period O-' X-s O-results O-included O-a O-$ B-CD-108 B-CD-million O-pre X-##ta X-##x O-charge O-related O-to O-un X-##re X-##cover X-##able O-contract O-costs O-and O-a O-$ B-CD-12 X-. X-3 B-CD-million O-pre X-##ta X-##x O-gain O-on O-real O-estate O-sales O-.
"Sales for the latest quarter were flat, at $1.72 billion.","O-Sales O-for O-the O-latest O-quarter O-were O-flat O-, O-at O-$ B-CD-1 X-. X-72 B-CD-billion O-."
"For the nine months, Honeywell reported earnings of $212.1 million, or $4.92 a share, compared with earnings of $47.9 million, or $1.13 a share, a year earlier.","O-For O-the B-CD-nine O-months O-, O-Honey X-##well O-reported O-earnings O-of O-$ B-CD-212 X-. X-1 B-CD-million O-, O-or O-$ B-CD-4 X-. X-92 O-a O-share O-, O-compared O-with O-earnings O-of O-$ B-CD-47 X-. X-9 B-CD-million O-, O-or O-$ B-CD-1 X-. X-13 O-a O-share O-, O-a O-year O-earlier O-."
Sales declined slightly to $5.17 billion.,O-Sales O-declined O-slightly O-to O-$ B-CD-5 X-. X-17 B-CD-billion O-.
"The average interest rate fell to 8.292% at Citicorp's $50 million weekly auction of 91-day commercial paper, or corporate IOUs, from 8.483% at last week's sale.","O-The O-average O-interest O-rate O-fell O-to B-CD-8 X-. X-29 X-##2 O-% O-at O-C X-##itic X-##or X-##p O-' X-s O-$ B-CD-50 B-CD-million O-weekly O-auction O-of B-CD-91 X-- X-day O-commercial O-paper O-, O-or O-corporate O-I X-##O X-##U X-##s O-, O-from B-CD-8 X-. X-48 X-##3 O-% O-at O-last O-week O-' X-s O-sale O-."
"Bids totaling $465 million were submitted, and accepted bids were at 8.292%.","O-B X-##ids O-totaling O-$ B-CD-46 X-##5 B-CD-million O-were O-submitted O-, O-and O-accepted O-bids O-were O-at B-CD-8 X-. X-29 X-##2 O-% O-."
Citicorp also said that the average rate fell to 7.986% at its $50 million auction of 182-day commercial paper from 8.1255% at last week's sale.,O-C X-##itic X-##or X-##p O-also O-said O-that O-the O-average O-rate O-fell O-to B-CD-7 X-. X-98 X-##6 O-% O-at O-its O-$ B-CD-50 B-CD-million O-auction O-of B-CD-182 X-- X-day O-commercial O-paper O-from B-CD-8 X-. X-125 X-##5 O-% O-at O-last O-week O-' X-s O-sale O-.
"Bids totaling $415 million were submitted, and accepted bids were at 7.986%.","O-B X-##ids O-totaling O-$ B-CD-415 B-CD-million O-were O-submitted O-, O-and O-accepted O-bids O-were O-at B-CD-7 X-. X-98 X-##6 O-% O-."
The bank holding company will auction another $50 million of commercial paper in each maturity next Tuesday.,O-The O-bank O-holding O-company O-will O-auction O-another O-$ B-CD-50 B-CD-million O-of O-commercial O-paper O-in O-each O-maturity O-next O-Tuesday O-.
Living there for six years was really scary.,O-Living O-there O-for B-CD-six O-years O-was O-really O-scary O-.
"Those obsolete operations cost less than $2 billion a year, and keep Mac's ghost quiet.","O-Those O-obsolete O-operations O-cost O-less O-than O-$ B-CD-2 B-CD-billion O-a O-year O-, O-and O-keep O-Mac O-' X-s O-ghost O-quiet O-."
"In 1941, Raeder and the German navy threatened to attack the Panama Canal, so we created the Southern Command in Panama.","O-In B-CD-1941 O-, O-Rae X-##der O-and O-the O-German O-navy O-threatened O-to O-attack O-the O-Panama O-Canal O-, O-so O-we O-created O-the O-Southern O-Command O-in O-Panama O-."
"The Command's huge bureaucracy is needed to analyze whether leaders of coups against Gen. Noriega meet the War Powers Act's six points, Cap Weinberger's seven points, the Intelligence Committee's 32 points and Woodrow Wilson's 14 points necessary to justify U.S. support.","O-The O-Command O-' X-s O-huge O-bureau X-##cracy O-is O-needed O-to O-analyze O-whether O-leaders O-of O-coup X-##s O-against O-Gen X-. O-Nor X-##ie X-##ga O-meet O-the O-War O-Powers O-Act O-' X-s B-CD-six O-points O-, O-Cap O-Wei X-##nberg X-##er O-' X-s B-CD-seven O-points O-, O-the O-Intelligence O-Committee O-' X-s B-CD-32 O-points O-and O-Woodrow O-Wilson O-' X-s B-CD-14 O-points O-necessary O-to O-justify O-U X-. X-S X-. O-support O-."
The ghost of the Soviet brigade discovered in Cuba back in the '70s costs just a few hundred million: the price of the Caribbean Command in Key West that President Carter created in 1980.,O-The O-ghost O-of O-the O-Soviet O-brigade O-discovered O-in O-Cuba O-back O-in O-the O-' O-70s O-costs O-just O-a O-few B-CD-hundred B-CD-million O-: O-the O-price O-of O-the O-Caribbean O-Command O-in O-Key O-West O-that O-President O-Carter O-created O-in B-CD-1980 O-.
So Mr. Carter formed three new Army divisions and gave them to a new bureaucracy in Tampa called the Rapid Deployment Force.,O-So O-Mr X-. O-Carter O-formed B-CD-three O-new O-Army O-divisions O-and O-gave O-them O-to O-a O-new O-bureau X-##cracy O-in O-Tampa O-called O-the O-Rapid O-De X-##p X-##loy X-##ment O-Force O-.
But that ghost wasn't fooled; he knew the RDF was neither rapid nor deployable nor a force -- even though it cost $8 billion or $10 billion a year.,O-But O-that O-ghost O-was O-n X-' X-t O-fool X-##ed O-; O-he O-knew O-the O-R X-##DF O-was O-neither O-rapid O-nor O-deploy X-##able O-nor O-a O-force O-- X-- O-even O-though O-it O-cost O-$ B-CD-8 B-CD-billion O-or O-$ B-CD-10 B-CD-billion O-a O-year O-.
"After Mr. Carter was defeated in 1980, the shah's ghost claimed the credit and then went after President Reagan and Cap Weinberger.","O-After O-Mr X-. O-Carter O-was O-defeated O-in B-CD-1980 O-, O-the O-s X-##ha X-##h O-' X-s O-ghost O-claimed O-the O-credit O-and O-then O-went O-after O-President O-Reagan O-and O-Cap O-Wei X-##nberg X-##er O-."
"Why, he used to lay in wait for Cap; suddenly he'd leap from behind some statue of Marshall onto Cap's chest and grab him by the throat and choke him till he coughed up an additional $2 billion or so.","O-Why O-, O-he O-used O-to O-lay O-in O-wait O-for O-Cap O-; O-suddenly O-he O-' X-d O-leap O-from O-behind O-some O-statue O-of O-Marshall O-onto O-Cap O-' X-s O-chest O-and O-grab O-him O-by O-the O-throat O-and O-choke O-him O-till O-he O-coughed O-up O-an O-additional O-$ B-CD-2 B-CD-billion O-or O-so O-."
"Cap added four more divisions to the Army, two active and two reserve; two carrier groups to the Navy; a division -- equivalent to the Marines; and the C-5B, KC-10, C-17 and a thousand tactical aircraft to the Air Force.","O-Cap O-added B-CD-four O-more O-divisions O-to O-the O-Army O-, B-CD-two O-active O-and B-CD-two O-reserve O-; B-CD-two O-carrier O-groups O-to O-the O-Navy O-; O-a O-division O-- X-- O-equivalent O-to O-the O-Marines O-; O-and O-the O-C X-- X-5 X-##B O-, O-KC X-- X-10 O-, O-C X-- X-17 O-and O-a B-CD-thousand O-tactical O-aircraft O-to O-the O-Air O-Force O-."
"He bought $4 billion in prepositioning ships and $7 billion in ammo and equipment to fill them, and parked them at a new $6 billion base at Diego Garcia in the middle of the Indian Ocean.","O-He O-bought O-$ B-CD-4 B-CD-billion O-in O-pre X-##position X-##ing O-ships O-and O-$ B-CD-7 B-CD-billion O-in O-am X-##mo O-and O-equipment O-to O-fill O-them O-, O-and O-parked O-them O-at O-a O-new O-$ B-CD-6 B-CD-billion O-base O-at O-Diego O-Garcia O-in O-the O-middle O-of O-the O-Indian O-Ocean O-."
One night both Marshall's ghost and the shah's ghost together caught Cap and threw him to the ground.,B-CD-One O-night O-both O-Marshall O-' X-s O-ghost O-and O-the O-s X-##ha X-##h O-' X-s O-ghost O-together O-caught O-Cap O-and O-threw O-him O-to O-the O-ground O-.
Before they let him go he added a thousand bureaucrats to the RDF in Tampa and renamed it Central Command.,O-Before O-they O-let O-him O-go O-he O-added O-a B-CD-thousand O-bureau X-##crats O-to O-the O-R X-##DF O-in O-Tampa O-and O-renamed O-it O-Central O-Command O-.
"But the shah still kept leaping out at Cap, so Cap bought a hundred merchant ships more and $7 billion of loading barges, ramps, etc., in order that those seven new Army divisions and three Marine brigades could unload from all those new ships and aircraft and go to war in the Zagros mountains.","O-But O-the O-s X-##ha X-##h O-still O-kept O-leaping O-out O-at O-Cap O-, O-so O-Cap O-bought O-a B-CD-hundred O-merchant O-ships O-more O-and O-$ B-CD-7 B-CD-billion O-of O-loading O-barge X-##s O-, O-ramp X-##s O-, O-etc X-. O-, O-in O-order O-that O-those B-CD-seven O-new O-Army O-divisions O-and B-CD-three O-Marine O-brigades O-could O-un X-##load O-from O-all O-those O-new O-ships O-and O-aircraft O-and O-go O-to O-war O-in O-the O-Z X-##ag X-##ros O-mountains O-."
"Then suddenly Ike's ghost came to visit and said, ""What the hell are you doing planning for a land war in Asia 12,000 miles away?","O-Then O-suddenly O-I X-##ke O-' X-s O-ghost O-came O-to O-visit O-and O-said O-, O-"" O-What O-the O-hell O-are O-you O-doing O-planning O-for O-a O-land O-war O-in O-Asia B-CD-12 X-, X-000 O-miles O-away O-?"
So the U.S. found itself paying about $2 billion in baksheesh to various Arab potentates for basing rights around the Indian Ocean.,O-So O-the O-U X-. X-S X-. O-found O-itself O-paying O-about O-$ B-CD-2 B-CD-billion O-in O-b X-##aks X-##hee X-##sh O-to O-various O-Arab O-potent X-##ates O-for O-basin X-##g O-rights O-around O-the O-Indian O-Ocean O-.
"But then it turned out that President Siad Barrah was not at all a nice person and the Navy pointed out that the base he promised us in Berbera had silted up about a hundred years ago and anyway was 1,244 miles from the mouth of the Gulf.","O-But O-then O-it O-turned O-out O-that O-President O-Si X-##ad O-Barr X-##ah O-was O-not O-at O-all O-a O-nice O-person O-and O-the O-Navy O-pointed O-out O-that O-the O-base O-he O-promised O-us O-in O-Be X-##rber X-##a O-had O-si X-##lt X-##ed O-up O-about O-a B-CD-hundred O-years O-ago O-and O-anyway O-was B-CD-1 X-, X-244 O-miles O-from O-the O-mouth O-of O-the O-Gulf O-."
"Predictably, some Navy guys said: ""Do we still need to keep all 18 Army divisions on active duty and all those extra land-based aircraft without bases and all those Army guys playing admiral in Tampa?","O-Pre X-##dict X-##ably O-, O-some O-Navy O-guys O-said O-: O-"" O-Do O-we O-still O-need O-to O-keep O-all B-CD-18 O-Army O-divisions O-on O-active O-duty O-and O-all O-those O-extra O-land X-- X-based O-aircraft O-without O-bases O-and O-all O-those O-Army O-guys O-playing O-admiral O-in O-Tampa O-?"
Couldn't we save $20 billion or $30 billion a year by shifting that stuff to the reserves?,O-Could O-n X-' X-t O-we O-save O-$ B-CD-20 B-CD-billion O-or O-$ B-CD-30 B-CD-billion O-a O-year O-by O-shifting O-that O-stuff O-to O-the O-reserves O-?
"And why not save the costs of a thousand bureaucrats by abolishing Central Command and putting responsibility for Gulf naval operations back where it belongs, afloat with the task force commander in the Gulf?","O-And O-why O-not O-save O-the O-costs O-of O-a B-CD-thousand O-bureau X-##crats O-by O-a X-##bol X-##ishing O-Central O-Command O-and O-putting O-responsibility O-for O-Gulf O-naval O-operations O-back O-where O-it O-belongs O-, O-a X-##f X-##loat O-with O-the O-task O-force O-commander O-in O-the O-Gulf O-?"
"He appeared late one night in the bedroom of the new defense secretary, Dick Cheney.","O-He O-appeared O-late B-CD-one O-night O-in O-the O-bedroom O-of O-the O-new O-defense O-secretary O-, O-Dick O-Cheney O-."
So next day Mr. Cheney went out and did just that: He canceled the 600-ship Navy and cut back one carrier and 20 frigates.,O-So O-next O-day O-Mr X-. O-Cheney O-went O-out O-and O-did O-just O-that O-: O-He O-canceled O-the O-600 X-- X-ship O-Navy O-and O-cut O-back B-CD-one O-carrier O-and B-CD-20 O-frigates O-.
Grumman Corp. was awarded a $53.1 million Navy contract for advanced acquisition of six E-2C tactical control aircraft.,O-G X-##rum X-##man O-Corp X-. O-was O-awarded O-a O-$ B-CD-53 X-. X-1 B-CD-million O-Navy O-contract O-for O-advanced O-acquisition O-of B-CD-six O-E X-- X-2 X-##C O-tactical O-control O-aircraft O-.
LTV Corp. won a $25 million Army contract for missile test equipment.,O-L X-##TV O-Corp O-. O-won O-a O-$ B-CD-25 B-CD-million O-Army O-contract O-for O-missile O-test O-equipment O-.
Unisys Corp. received a $24.4 million Air Force contract for computer programming.,O-Un X-##is X-##ys O-Corp O-. O-received O-a O-$ B-CD-24 X-. X-4 B-CD-million O-Air O-Force O-contract O-for O-computer O-programming O-.
"Ford Aerospace & Communications Corp., a unit of Ford Motor Co., was awarded a $15.9 million Air Force contract for computer improvements.","O-Ford O-Aerospace O-& O-Communications O-Corp X-. O-, O-a O-unit O-of O-Ford O-Motor O-Co X-. O-, O-was O-awarded O-a O-$ B-CD-15 X-. X-9 B-CD-million O-Air O-Force O-contract O-for O-computer O-improvements O-."
Rockwell International Corp. was issued a $12.5 million Air Force contract for changes in the National Aerospace Plane.,O-Rock X-##well O-International O-Corp X-. O-was O-issued O-a O-$ B-CD-12 X-. X-5 B-CD-million O-Air O-Force O-contract O-for O-changes O-in O-the O-National O-Aerospace O-Plan X-##e O-.
"Fleet/Norstar Financial Group reported a 12% increase in net income in the third quarter, led by a 43% gain in its financial services group.","O-Fleet O-/ O-Nor X-##star O-Financial O-Group O-reported O-a B-CD-12 O-% O-increase O-in O-net O-income O-in O-the O-third O-quarter O-, O-led O-by O-a B-CD-43 O-% O-gain O-in O-its O-financial O-services O-group O-."
"Fleet's net was $96.4 million, or 86 cents a primary share, compared with $85.8 million, or 79 cents a share, a year earlier.","O-Fleet O-' X-s O-net O-was O-$ B-CD-96 X-. X-4 B-CD-million O-, O-or B-CD-86 O-cents O-a O-primary O-share O-, O-compared O-with O-$ B-CD-85 X-. X-8 B-CD-million O-, O-or B-CD-79 O-cents O-a O-share O-, O-a O-year O-earlier O-."
"The Providence, R.I., financial services group, which includes commercial-credit, leasing and mortgage-banking operations, contributed $30.6 million to net, up from last year's $21.3 million.","O-The O-Providence O-, O-R X-. X-I X-. O-, O-financial O-services O-group O-, O-which O-includes O-commercial X-- X-credit O-, O-le X-##asing O-and O-mortgage X-- X-banking O-operations O-, O-contributed O-$ B-CD-30 X-. X-6 B-CD-million O-to O-net O-, O-up O-from O-last O-year O-' X-s O-$ B-CD-21 X-. X-3 B-CD-million O-."
"Fleet reported nine-month net of $279.0 million, or $2.51 a primary share, up from $248.2 million, or $2.28 a share, a year earlier.","O-Fleet O-reported O-nine X-- X-month O-net O-of O-$ B-CD-27 X-##9 X-. X-0 B-CD-million O-, O-or O-$ B-CD-2 X-. X-51 O-a O-primary O-share O-, O-up O-from O-$ B-CD-248 X-. X-2 B-CD-million O-, O-or O-$ B-CD-2 X-. X-28 O-a O-share O-, O-a O-year O-earlier O-."
Dallas investor Harold C. Simmons said he raised his stake in Lockheed Corp. to 10.62% from 10.43% of the aerospace and electronics concern's common shares.,O-Dallas O-investor O-Harold O-C X-. O-Simmons O-said O-he O-raised O-his O-stake O-in O-Lockheed O-Corp O-. O-to B-CD-10 X-. X-62 O-% O-from B-CD-10 X-. X-43 O-% O-of O-the O-aerospace O-and O-electronics O-concern O-' X-s O-common O-shares O-.
"In a Securities and Exchange Commission filing, Mr. Simmons said he and companies he controls, NL Industries Inc. and NL Chemicals Inc., hold 6,744,600 shares of Lockheed, of Calabasas, Calif.","O-In O-a O-Securities O-and O-Exchange O-Commission O-filing O-, O-Mr X-. O-Simmons O-said O-he O-and O-companies O-he O-controls O-, O-NL O-Industries O-Inc X-. O-and O-NL O-Chemical X-##s O-Inc X-. O-, O-hold B-CD-6 X-, X-74 X-##4 X-, X-600 O-shares O-of O-Lockheed O-, O-of O-Cal X-##aba X-##sa X-##s O-, O-Cal X-##if O-."
"They include 122,700 shares bought Friday for between $47.125 and $48 each.","O-They O-include B-CD-122 X-, X-700 O-shares O-bought O-Friday O-for O-between O-$ B-CD-47 X-. X-125 O-and O-$ B-CD-48 O-each O-."
"In composite trading on the New York Stock Exchange, Lockheed closed at $46.125 a share, down 12.5 cents.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-Lockheed O-closed O-at O-$ B-CD-46 X-. X-125 O-a O-share O-, O-down B-CD-12 X-. X-5 O-cents O-."
"Hooker, based in Atlanta, filed for Chapter 11 bankruptcy protection earlier this year.","O-Hooker O-, O-based O-in O-Atlanta O-, O-filed O-for O-Chapter B-CD-11 O-bankruptcy O-protection O-earlier O-this O-year O-."
"It is providing $50 million in emergency financing to the company and has agreed to buy as much as $75 million in receivables from B. Altman & Co. and Bonwit Teller, L.J.","O-It O-is O-providing O-$ B-CD-50 B-CD-million O-in O-emergency O-financing O-to O-the O-company O-and O-has O-agreed O-to O-buy O-as O-much O-as O-$ B-CD-75 B-CD-million O-in O-re X-##ce X-##ivable X-##s O-from O-B O-. O-Alt X-##man O-& O-Co X-. O-and O-Bon X-##wi X-##t O-Tell X-##er O-, O-L X-. X-J O-."
Hooker's two fully owned department-store chains.,O-Hooker O-' X-s B-CD-two O-fully O-owned O-department X-- X-store O-chains O-.
"Currently, Mr. Merksamer owns 20% of the company; L.J.","O-Currently O-, O-Mr X-. O-Me X-##rks X-##ame X-##r O-owns B-CD-20 O-% O-of O-the O-company O-; O-L X-. X-J O-."
Hooker acquired its 80% interest in the firm in May 1986.,O-Hooker O-acquired O-its B-CD-80 O-% O-interest O-in O-the O-firm O-in O-May B-CD-1986 O-.
"At the time, the Merksamer chain had 11 stores in operation.","O-At O-the O-time O-, O-the O-Me X-##rks X-##ame X-##r O-chain O-had B-CD-11 O-stores O-in O-operation O-."
"Today, there are 77 units, all located in shopping malls.","O-Today O-, O-there O-are B-CD-77 O-units O-, O-all O-located O-in O-shopping O-mall X-##s O-."
"For the year ended June 30, 1989, Merksamer Jewelers had $62 million of revenue and operating profit of $2.5 million.","O-For O-the O-year O-ended O-June B-CD-30 O-, B-CD-1989 O-, O-Me X-##rks X-##ame X-##r O-Jewel X-##ers O-had O-$ B-CD-62 B-CD-million O-of O-revenue O-and O-operating O-profit O-of O-$ B-CD-2 X-. X-5 B-CD-million O-."
"The company was founded in Sacramento in 1929 by two brothers, Ralph and Walter Merksamer, who operated as DeVon's Jewelers.","O-The O-company O-was O-founded O-in O-Sacramento O-in B-CD-1929 O-by B-CD-two O-brothers O-, O-Ralph O-and O-Walter O-Me X-##rks X-##ame X-##r O-, O-who O-operated O-as O-De X-##V X-##on O-' X-s O-Jewel X-##ers O-."
"In 1979, the pair split the company in half, with Walter and his son, Sam, agreeing to operate under the Merksamer Jewelery name.","O-In B-CD-1979 O-, O-the O-pair O-split O-the O-company O-in O-half O-, O-with O-Walter O-and O-his O-son O-, O-Sam O-, O-agreeing O-to O-operate O-under O-the O-Me X-##rks X-##ame X-##r O-Jewel X-##ery O-name O-."
"Hooker this week received a $409 million bid for its three shopping malls, plus other properties from a consortium led by Honolulu real-estate investor Jay Shidler and A. Boyd Simpson, an Atlanta developer and former L.J.","O-Hooker O-this O-week O-received O-a O-$ B-CD-40 X-##9 B-CD-million O-bid O-for O-its B-CD-three O-shopping O-mall X-##s O-, O-plus O-other O-properties O-from O-a O-consortium O-led O-by O-Honolulu O-real X-- X-estate O-investor O-Jay O-Shi X-##dler O-and O-A X-. O-Boyd O-Simpson O-, O-an O-Atlanta O-developer O-and O-former O-L X-. X-J O-."
"Louisiana-Pacific reported a 40% increase in net income to $51.5 million, or $1.34 a share, from $36.8 million, or 97 cents a share, the year earlier.","O-Louisiana X-- X-Pacific O-reported O-a B-CD-40 O-% O-increase O-in O-net O-income O-to O-$ B-CD-51 X-. X-5 B-CD-million O-, O-or O-$ B-CD-1 X-. X-34 O-a O-share O-, O-from O-$ B-CD-36 X-. X-8 B-CD-million O-, O-or B-CD-97 O-cents O-a O-share O-, O-the O-year O-earlier O-."
Sales in the period increased about 10% to $510.1 million from $462.9 million.,O-Sales O-in O-the O-period O-increased O-about B-CD-10 O-% O-to O-$ B-CD-510 X-. X-1 B-CD-million O-from O-$ B-CD-46 X-##2 X-. X-9 B-CD-million O-.
"For the nine months, the company posted a 34% gain in net to $139.8 million, or $3.66 a share, from $104.1 million, or $2.73 a share.","O-For O-the B-CD-nine O-months O-, O-the O-company O-posted O-a B-CD-34 O-% O-gain O-in O-net O-to O-$ B-CD-139 X-. X-8 B-CD-million O-, O-or O-$ B-CD-3 X-. X-66 O-a O-share O-, O-from O-$ B-CD-104 X-. X-1 B-CD-million O-, O-or O-$ B-CD-2 X-. X-73 O-a O-share O-."
The company said it had an 11% sales increase to $1.50 billion from $1.35 billion the year earlier.,O-The O-company O-said O-it O-had O-an B-CD-11 O-% O-sales O-increase O-to O-$ B-CD-1 X-. X-50 B-CD-billion O-from O-$ B-CD-1 X-. X-35 B-CD-billion O-the O-year O-earlier O-.
(The company's 1988 results don't include a non-recurring gain on the final settlement of the Redwood National Park condemnation in 1988's first quarter.),O-( O-The O-company O-' X-s B-CD-1988 O-results O-do O-n X-' X-t O-include O-a O-non X-- X-recurring O-gain O-on O-the O-final O-settlement O-of O-the O-Red X-##wood O-National O-Park O-con X-##de X-##m X-##nation O-in B-CD-1988 O-' X-s O-first O-quarter O-. O-)
"Pope & Talbot said healthy demand and prices, especially for consumer products, led to a 55% increase in third-quarter net to $13.2 million, or $1.11 a share, from $8.5 million, or 71 cents a share.","O-Pope O-& O-Talbot O-said O-healthy O-demand O-and O-prices O-, O-especially O-for O-consumer O-products O-, O-led O-to O-a B-CD-55 O-% O-increase O-in O-third X-- X-quarter O-net O-to O-$ B-CD-13 X-. X-2 B-CD-million O-, O-or O-$ B-CD-1 X-. X-11 O-a O-share O-, O-from O-$ B-CD-8 X-. X-5 B-CD-million O-, O-or B-CD-71 O-cents O-a O-share O-."
"The 1989 results include a gain of $3.5 million, or 29 cents a share, on the sale of a sawmill.","O-The B-CD-1989 O-results O-include O-a O-gain O-of O-$ B-CD-3 X-. X-5 B-CD-million O-, O-or B-CD-29 O-cents O-a O-share O-, O-on O-the O-sale O-of O-a O-saw X-##mill O-."
