"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n B-$-( X-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"Revenue in the telecommunications products and services unit rose 27% to $728.8 million, but operating profit was unchanged at $26.3 million, partly because of start-up expenses.","O-Revenue O-in O-the O-telecommunications O-products O-and O-services O-unit O-rose O-27 O-% O-to B-$-$ O-72 X-##8 X-. X-8 O-million O-, O-but O-operating O-profit O-was O-unchanged O-at B-$-$ O-26 X-. X-3 O-million O-, O-partly O-because O-of O-start X-- X-up O-expenses O-."
Electrical products' sales fell to $496.7 million from $504.5 million with higher world-wide lighting volume offset by lower domestic prices and the impact of weaker currencies in Europe and South America.,O-Electrical O-products X-' O-sales O-fell O-to B-$-$ O-49 X-##6 X-. X-7 O-million O-from B-$-$ O-50 X-##4 X-. X-5 O-million O-with O-higher O-world X-- X-wide O-lighting O-volume O-offset O-by O-lower O-domestic O-prices O-and O-the O-impact O-of O-weaker O-cu X-##rre X-##ncies O-in O-Europe O-and O-South O-America O-.
Operating profit of $37.2 million was unchanged.,O-Operating O-profit O-of B-$-$ O-37 X-. X-2 O-million O-was O-unchanged O-.
"In composite trading on the New York Stock Exchange, GTE rose $1.25 to $64.125.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-GT X-##E O-rose B-$-$ O-1 X-. X-25 O-to B-$-$ O-64 X-. X-125 O-."
Revenue rose 23% to $1.67 billion from $1.36 billion.,O-Revenue O-rose O-23 O-% O-to B-$-$ O-1 X-. X-67 O-billion O-from B-$-$ O-1 X-. X-36 O-billion O-.
"Operating profit grew 57% to $269 million from $171 million, while operating margins rose to 16.1% from 15.9% the previous quarter and 12.6% a year ago.","O-Operating O-profit O-grew O-57 O-% O-to B-$-$ O-26 X-##9 O-million O-from B-$-$ O-171 O-million O-, O-while O-operating O-margins O-rose O-to O-16 X-. X-1 O-% O-from O-15 X-. X-9 O-% O-the O-previous O-quarter O-and O-12 X-. X-6 O-% O-a O-year O-ago O-."
"In national over-the-counter trading, MCI fell $2.625 to $42.375.","O-In O-national O-over X-- X-the X-- X-counter O-trading O-, O-MC X-##I O-fell B-$-$ O-2 X-. X-625 O-to B-$-$ O-42 X-. X-375 O-."
MCI claims about 12% of the overall long-distance telephone market but just under 10% of the $23 billion residential market.,O-MC X-##I O-claims O-about O-12 O-% O-of O-the O-overall O-long X-- X-distance O-telephone O-market O-but O-just O-under O-10 O-% O-of O-the B-$-$ O-23 O-billion O-residential O-market O-.
Revenue slipped 1.2% to $2.21 billion from $2.23 billion.,O-Revenue O-slipped O-1 X-. X-2 O-% O-to B-$-$ O-2 X-. X-21 O-billion O-from B-$-$ O-2 X-. X-23 O-billion O-.
Southwestern shares fell 50 cents to $55.875 in composite trading on the New York Stock Exchange.,O-Southwestern O-shares O-fell O-50 O-cents O-to B-$-$ O-55 X-. X-87 X-##5 O-in O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-.
Revenue jumped nearly 17% to $223.3 million from $191.4 million.,O-Revenue O-jumped O-nearly O-17 O-% O-to B-$-$ O-223 X-. X-3 O-million O-from B-$-$ O-191 X-. X-4 O-million O-.
"In composite trading on the New York Stock Exchange, Cincinnati Bell fell 25 cents to $29.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-Cincinnati O-Bell O-fell O-25 O-cents O-to B-$-$ O-29 O-."
Chairman D.H. Hibbard said the company has set a new five year goal of doubling revenues to about $1.8 billion while steadily increasing net.,O-Chairman O-D X-. X-H O-. O-Hi X-##bba X-##rd O-said O-the O-company O-has O-set O-a O-new O-five O-year O-goal O-of O-doubling O-revenues O-to O-about B-$-$ O-1 X-. X-8 O-billion O-while O-steadily O-increasing O-net O-.
"In July, Eastern and its creditors agreed on a reorganization plan that called for Eastern to sell $1.8 billion in assets and to emerge from bankruptcy-law protection at two-thirds its former size.","O-In O-July O-, O-Eastern O-and O-its O-creditors O-agreed O-on O-a O-reorganization O-plan O-that O-called O-for O-Eastern O-to O-sell B-$-$ O-1 X-. X-8 O-billion O-in O-assets O-and O-to O-emerge O-from O-bankruptcy X-- X-law O-protection O-at O-two X-- X-thirds O-its O-former O-size O-."
"Those routes, valued by the creditors' professionals at about $400 million, were to be sold to AMR Corp. 's American Airlines.","O-Those O-routes O-, O-valued O-by O-the O-creditors X-' O-professionals O-at O-about B-$-$ O-400 O-million O-, O-were O-to O-be O-sold O-to O-AM X-##R O-Corp O-. O-' O-s O-American O-Airlines O-."
"Ernst & Young said Eastern's plans will miss its projections of earnings before interest, tax and depreciation by $100 million, and that Eastern's plan presented no comfort level, according to a source present at yesterday's session.","O-Ernst O-& O-Young O-said O-Eastern O-' X-s O-plans O-will O-miss O-its O-projections O-of O-earnings O-before O-interest O-, O-tax O-and O-de X-##p X-##re X-##ciation O-by B-$-$ O-100 O-million O-, O-and O-that O-Eastern O-' X-s O-plan O-presented O-no O-comfort O-level O-, O-according O-to O-a O-source O-present O-at O-yesterday O-' X-s O-session O-."
"Experts from Goldman Sachs estimated Eastern would miss the same mark by $120 million to $135 million, the source said.","O-Ex X-##pert X-##s O-from O-Goldman O-Sachs O-estimated O-Eastern O-would O-miss O-the O-same O-mark O-by B-$-$ O-120 O-million O-to B-$-$ O-135 O-million O-, O-the O-source O-said O-."
"The plan Eastern hopes to pursue, he said, calls for Eastern to have $390 million in cash by year's end.","O-The O-plan O-Eastern O-hopes O-to O-pursue O-, O-he O-said O-, O-calls O-for O-Eastern O-to O-have B-$-$ O-390 O-million O-in O-cash O-by O-year O-' X-s O-end O-."
The #76.6 million ($120.6 million) in pretax profit for the 12 months to June 30 was down from #160 million ($252 million) a year earlier and below market expectations of #80 million and #90 million.,O-The B-$-# O-76 X-. X-6 O-million B-$-( X-$ O-120 X-. X-6 O-million O-) O-in O-pre X-##ta X-##x O-profit O-for O-the O-12 O-months O-to O-June O-30 O-was O-down O-from B-$-# O-160 O-million B-$-( X-$ O-252 O-million O-) O-a O-year O-earlier O-and O-below O-market O-expectations O-of B-$-# O-80 O-million O-and B-$-# O-90 O-million O-.
"Amstrad's profit after taxes fell a similarly steep 51%, to #51.1 million from #105 million a year earlier.","O-Am X-##stra X-##d O-' X-s O-profit O-after O-taxes O-fell O-a O-similarly O-steep O-51 O-% O-, O-to B-$-# O-51 X-. X-1 O-million O-from B-$-# O-105 O-million O-a O-year O-earlier O-."
Sales edged up fractionally to #626.3 million from #625.4 million a year earlier.,O-Sales O-edged O-up O-fraction X-##ally O-to B-$-# O-62 X-##6 X-. X-3 O-million O-from B-$-# O-625 X-. X-4 O-million O-a O-year O-earlier O-.
"The bank holding company also reported that third-quarter profit dropped 41%, to $42.7 million, or 61 cents a share, from the year-earlier $72.3 million, or $1.04 a share.","O-The O-bank O-holding O-company O-also O-reported O-that O-third X-- X-quarter O-profit O-dropped O-41 O-% O-, O-to B-$-$ O-42 X-. X-7 O-million O-, O-or O-61 O-cents O-a O-share O-, O-from O-the O-year X-- X-earlier B-$-$ O-72 X-. X-3 O-million O-, O-or B-$-$ O-1 X-. X-04 O-a O-share O-."
"Walter Connolly, chairman, said in an interview that the company expects to record pretax gains of $100 million to $125 million from the sale of its leasing operations and of certain financial processing services.","O-Walter O-Connolly O-, O-chairman O-, O-said O-in O-an O-interview O-that O-the O-company O-expects O-to O-record O-pre X-##ta X-##x O-gains O-of B-$-$ O-100 O-million O-to B-$-$ O-125 O-million O-from O-the O-sale O-of O-its O-le X-##asing O-operations O-and O-of O-certain O-financial O-processing O-services O-."
"Nonperforming assets continued to pile up in the latest quarter, rising to $900 million, or 3.52% of loans and leases, from $667 million, or 2.68%, at the end of the second quarter.","O-Non X-##per X-##form X-##ing O-assets O-continued O-to O-pile O-up O-in O-the O-latest O-quarter O-, O-rising O-to B-$-$ O-900 O-million O-, O-or O-3 X-. X-52 O-% O-of O-loans O-and O-lease X-##s O-, O-from B-$-$ O-66 X-##7 O-million O-, O-or O-2 X-. X-68 O-% O-, O-at O-the O-end O-of O-the O-second O-quarter O-."
"Some $170 million of the $233 million increase in nonperforming loans was related to real estate, and roughly three-quarters of that was in the troubled New England market, according to Richard Driscoll, vice chairman.","O-Some B-$-$ O-170 O-million O-of O-the B-$-$ O-233 O-million O-increase O-in O-non X-##per X-##form X-##ing O-loans O-was O-related O-to O-real O-estate O-, O-and O-roughly O-three X-- X-quarters O-of O-that O-was O-in O-the O-troubled O-New O-England O-market O-, O-according O-to O-Richard O-Dr X-##isco X-##ll O-, O-vice O-chairman O-."
"Mr. Connolly noted that net third-quarter charge-offs, at $63 million, improved slightly from the $67 million in the second quarter.","O-Mr X-. O-Connolly O-noted O-that O-net O-third X-- X-quarter O-charge X-- X-offs O-, O-at B-$-$ O-63 O-million O-, O-improved O-slightly O-from O-the B-$-$ O-67 O-million O-in O-the O-second O-quarter O-."
The company increased its loan loss reserve to $354 million from $342 million at the end of the second quarter.,O-The O-company O-increased O-its O-loan O-loss O-reserve O-to B-$-$ O-35 X-##4 O-million O-from B-$-$ O-34 X-##2 O-million O-at O-the O-end O-of O-the O-second O-quarter O-.
"Total assets slipped to $31.4 billion, from $32 billion as of June 30.","O-Total O-assets O-slipped O-to B-$-$ O-31 X-. X-4 O-billion O-, O-from B-$-$ O-32 O-billion O-as O-of O-June O-30 O-."
"The Chicago office figured prominently in the bank's problems earlier this year, when $65 million in loans to Chicago businessman William Stoecker went sour.","O-The O-Chicago O-office O-figured O-prominently O-in O-the O-bank O-' X-s O-problems O-earlier O-this O-year O-, O-when B-$-$ O-65 O-million O-in O-loans O-to O-Chicago O-businessman O-William O-St X-##oe X-##cker O-went O-sour O-."
The Tennessee Valley Authority issued $4 billion in bonds in the federal utility's first public debt offering in 15 years.,O-The O-Tennessee O-Valley O-Authority O-issued B-$-$ O-4 O-billion O-in O-bonds O-in O-the O-federal O-utility O-' X-s O-first O-public O-debt O-offering O-in O-15 O-years O-.
The TVA said the refinancing should save $75 million a year in interest payments.,O-The O-TV X-##A O-said O-the O-re X-##fin X-##an X-##cing O-should O-save B-$-$ O-75 O-million O-a O-year O-in O-interest O-payments O-.
"The refinancing is part of the TVA's strategy of dealing with what has been an intractable problem: its staggering $18.5 billion debt, most of which is owed to the Treasury Department's Federal Financing Bank.","O-The O-re X-##fin X-##an X-##cing O-is O-part O-of O-the O-TV X-##A O-' X-s O-strategy O-of O-dealing O-with O-what O-has O-been O-an O-in X-##tract X-##able O-problem O-: O-its O-s X-##tag X-##gering B-$-$ O-18 X-. X-5 O-billion O-debt O-, O-most O-of O-which O-is O-owed O-to O-the O-Treasury O-Department O-' X-s O-Federal O-Fin X-##an X-##cing O-Bank O-."
The TVA currently plans to issue a total of $6.7 billion in bonds to refinance its high-interest debt.,O-The O-TV X-##A O-currently O-plans O-to O-issue O-a O-total O-of B-$-$ O-6 X-. X-7 O-billion O-in O-bonds O-to O-re X-##fin X-##ance O-its O-high X-- X-interest O-debt O-.
"The $4 billion bond issue also will help the TVA meet its goal of not raising rates for another year, said William F. Malec, the agency's chief financial officer.","O-The B-$-$ O-4 O-billion O-bond O-issue O-also O-will O-help O-the O-TV X-##A O-meet O-its O-goal O-of O-not O-raising O-rates O-for O-another O-year O-, O-said O-William O-F X-. O-Male X-##c O-, O-the O-agency O-' X-s O-chief O-financial O-officer O-."
"The $4 billion in bonds break down as follows: $1 billion in five-year bonds with a coupon rate of 8.25% and a yield to maturity of 8.33%; $1 billion in 10-year bonds with a coupon rate of 8.375% and a yield to maturity of 8.42%; $2 billion in 30-year bonds with five-year call protection, a coupon rate of 8.75% and a yield to maturity of 9.06%.","O-The B-$-$ O-4 O-billion O-in O-bonds O-break O-down O-as O-follows O-: B-$-$ O-1 O-billion O-in O-five X-- X-year O-bonds O-with O-a O-coup X-##on O-rate O-of O-8 X-. X-25 O-% O-and O-a O-yield O-to O-maturity O-of O-8 X-. X-33 O-% O-; B-$-$ O-1 O-billion O-in O-10 X-- X-year O-bonds O-with O-a O-coup X-##on O-rate O-of O-8 X-. X-375 O-% O-and O-a O-yield O-to O-maturity O-of O-8 X-. X-42 O-% O-; B-$-$ O-2 O-billion O-in O-30 X-- X-year O-bonds O-with O-five X-- X-year O-call O-protection O-, O-a O-coup X-##on O-rate O-of O-8 X-. X-75 O-% O-and O-a O-yield O-to O-maturity O-of O-9 X-. X-06 O-% O-."
MACMILLAN BLOEDEL Ltd. said it borrowed 215 million Dutch guilders (US$102 million) from a group of Dutch institutional investors.,O-MAC X-##MI X-##LL X-##AN O-B X-##L X-##OE X-##DE X-##L O-Ltd O-. O-said O-it O-borrowed O-215 O-million O-Dutch O-g X-##uild X-##ers O-( O-US B-$-$ O-102 O-million O-) O-from O-a O-group O-of O-Dutch O-institutional O-investors O-.
Mesa Airlines said the takeover offer it received earlier this week from StatesWest Airlines is for a combination of cash and securities valued by StatesWest at $10 a Mesa share.,O-Mesa O-Airlines O-said O-the O-takeover O-offer O-it O-received O-earlier O-this O-week O-from O-States X-##W X-##est O-Airlines O-is O-for O-a O-combination O-of O-cash O-and O-securities O-valued O-by O-States X-##W X-##est O-at B-$-$ O-10 O-a O-Mesa O-share O-.
"But Farmington, N.M.-based Mesa said the offer was for $7 in cash and unspecified StatesWest securities valued at $3 a share.","O-But O-Farm X-##ington O-, O-N X-. X-M X-. O-- O-based O-Mesa O-said O-the O-offer O-was O-for B-$-$ O-7 O-in O-cash O-and O-un X-##sp X-##ec X-##ified O-States X-##W X-##est O-securities O-valued O-at B-$-$ O-3 O-a O-share O-."
"Based on the number of Mesa shares outstanding not already owned by StatesWest, the proposed takeover would have a value of about $15.3 million.","O-Based O-on O-the O-number O-of O-Mesa O-shares O-outstanding O-not O-already O-owned O-by O-States X-##W X-##est O-, O-the O-proposed O-takeover O-would O-have O-a O-value O-of O-about B-$-$ O-15 X-. X-3 O-million O-."
Macmillan Inc. said it plans a public offering of 8.4 million shares of its Berlitz International Inc. unit at $19 to $21 a share.,O-Macmillan O-Inc O-. O-said O-it O-plans O-a O-public O-offering O-of O-8 X-. X-4 O-million O-shares O-of O-its O-Be X-##rl X-##itz O-International O-Inc O-. O-unit O-at B-$-$ O-19 O-to B-$-$ O-21 O-a O-share O-.
"Berlitz will borrow an amount equal to its expected net proceeds from the offerings, plus $50 million, in connection with a credit agreement with lenders.","O-Be X-##rl X-##itz O-will O-borrow O-an O-amount O-equal O-to O-its O-expected O-net O-proceeds O-from O-the O-offerings O-, O-plus B-$-$ O-50 O-million O-, O-in O-connection O-with O-a O-credit O-agreement O-with O-lend X-##ers O-."
"The total borrowing will be about $208 million, the company said.","O-The O-total O-borrow X-##ing O-will O-be O-about B-$-$ O-208 O-million O-, O-the O-company O-said O-."
Proceeds from the borrowings under the credit agreement will be used to pay an $80 million cash dividend to Macmillan and to lend the remainder of about $128 million to Maxwell Communications in connection with a promissory note.,O-Pro X-##ce X-##eds O-from O-the O-borrow X-##ings O-under O-the O-credit O-agreement O-will O-be O-used O-to O-pay O-an B-$-$ O-80 O-million O-cash O-divide X-##nd O-to O-Macmillan O-and O-to O-lend O-the O-remainder O-of O-about B-$-$ O-128 O-million O-to O-Maxwell O-Communications O-in O-connection O-with O-a O-pro X-##mis X-##sor X-##y O-note O-.
"In the first six months of this year, Berlitz posted net income of $7.6 million on sales of $106.2 million, compared with net income of $8.2 million on sales of $90.6 million.","O-In O-the O-first O-six O-months O-of O-this O-year O-, O-Be X-##rl X-##itz O-posted O-net O-income O-of B-$-$ O-7 X-. X-6 O-million O-on O-sales O-of B-$-$ O-106 X-. X-2 O-million O-, O-compared O-with O-net O-income O-of B-$-$ O-8 X-. X-2 O-million O-on O-sales O-of B-$-$ O-90 X-. X-6 O-million O-."
"Mr. Jobs moved to remedy a couple of his computer's drawbacks yesterday by lowering the entry-level price for a Next machine by $1,500, or 23%, if the buyer chooses a hard-disk drive as an alternative to Next's optical-storage device.","O-Mr X-. O-Job X-##s O-moved O-to O-remedy O-a O-couple O-of O-his O-computer O-' X-s O-draw X-##backs O-yesterday O-by O-lowering O-the O-entry X-- X-level O-price O-for O-a O-Next O-machine O-by B-$-$ O-1 X-, X-500 O-, O-or O-23 O-% O-, O-if O-the O-buyer O-chooses O-a O-hard X-- X-disk O-drive O-as O-an O-alternative O-to O-Next O-' X-s O-optical X-- X-storage O-device O-."
"Universities can now buy a Next computer without an optical storage device for $4,995.","O-Universities O-can O-now O-buy O-a O-Next O-computer O-without O-an O-optical O-storage O-device O-for B-$-$ O-4 X-, X-99 X-##5 O-."
"A computer with the optical device will still cost $6,495, but from now on Next will outfit every computer with a hard drive and supply one at no cost to those who have already bought Next machines.","O-A O-computer O-with O-the O-optical O-device O-will O-still O-cost B-$-$ O-6 X-, X-49 X-##5 O-, O-but O-from O-now O-on O-Next O-will O-outfit O-every O-computer O-with O-a O-hard O-drive O-and O-supply O-one O-at O-no O-cost O-to O-those O-who O-have O-already O-bought O-Next O-machines O-."
"Commercial customers can purchase the same system through Businessland Inc., a computer retailer based in San Jose, Calif., for roughly $3,000 more.","O-Commercial O-customers O-can O-purchase O-the O-same O-system O-through O-Business X-##land O-Inc X-. O-, O-a O-computer O-retailer O-based O-in O-San O-Jose O-, O-Cal X-##if X-. O-, O-for O-roughly B-$-$ O-3 X-, X-000 O-more O-."
"""We'd still like to see a student model,"" priced at about $3,500, said Ronald Johnson, director of academic computing at Minnesota's Gustavus Adolphus College, which has bought eight Next machines.","O-"" O-We O-' X-d O-still O-like O-to O-see O-a O-student O-model O-, X-"" O-priced O-at O-about B-$-$ O-3 X-, X-500 O-, O-said O-Ronald O-Johnson O-, O-director O-of O-academic O-computing O-at O-Minnesota O-' X-s O-Gustav X-##us O-Ad X-##ol X-##phus O-College O-, O-which O-has O-bought O-eight O-Next O-machines O-."
"Bankers Trust New York Corp. became the latest major U.S. bank to increase reserves for its loans to less-developed countries, making a $1.6 billion third-quarter addition to its provision.","O-Bank X-##ers O-Trust O-New O-York O-Corp O-. O-became O-the O-latest O-major O-U X-. X-S X-. O-bank O-to O-increase O-reserves O-for O-its O-loans O-to O-less X-- X-developed O-countries O-, O-making O-a B-$-$ O-1 X-. X-6 O-billion O-third X-- X-quarter O-addition O-to O-its O-provision O-."
The bank also said it expects to report a $1.42 billion loss for the third quarter and a loss for the full year.,O-The O-bank O-also O-said O-it O-expects O-to O-report O-a B-$-$ O-1 X-. X-42 O-billion O-loss O-for O-the O-third O-quarter O-and O-a O-loss O-for O-the O-full O-year O-.
"The new reserves bring the company's provision for loans to Third World countries to $2.6 billion, or 85% of Bankers Trust's medium and long-term loans to these countries.","O-The O-new O-reserves O-bring O-the O-company O-' X-s O-provision O-for O-loans O-to O-Third O-World O-countries O-to B-$-$ O-2 X-. X-6 O-billion O-, O-or O-85 O-% O-of O-Bank X-##ers O-Trust O-' X-s O-medium O-and O-long X-- X-term O-loans O-to O-these O-countries O-."
"Citicorp yesterday reported a 9% third-quarter earnings drop, which analysts called a bit disappointing, while Manufacturers Hanover Corp. posted a $789 million loss for the quarter after adding $950 million to its reserve for loans to less-developed countries.","O-C X-##itic X-##or X-##p O-yesterday O-reported O-a O-9 O-% O-third X-- X-quarter O-earnings O-drop O-, O-which O-analysts O-called O-a O-bit O-disappointing O-, O-while O-Man X-##uf X-##act X-##urers O-Hanover O-Corp O-. O-posted O-a B-$-$ O-78 X-##9 O-million O-loss O-for O-the O-quarter O-after O-adding B-$-$ O-950 O-million O-to O-its O-reserve O-for O-loans O-to O-less X-- X-developed O-countries O-."
"Overall, the portfolio narrowed its quarterly loss to $70 million from $80 million a year earlier.","O-Overall O-, O-the O-portfolio O-narrowed O-its O-quarterly O-loss O-to B-$-$ O-70 O-million O-from B-$-$ O-80 O-million O-a O-year O-earlier O-."
"But he reiterated the bank's position that it is comfortable with the current level of $2.6 billion, covering about 30% of the $8.9 billion of such loans outstanding.","O-But O-he O-re X-##iter X-##ated O-the O-bank O-' X-s O-position O-that O-it O-is O-comfortable O-with O-the O-current O-level O-of B-$-$ O-2 X-. X-6 O-billion O-, O-covering O-about O-30 O-% O-of O-the B-$-$ O-8 X-. X-9 O-billion O-of O-such O-loans O-outstanding O-."
"Ronald I. Mandle, analyst at Sanford C. Bernstein & Co., called Citicorp's venture-capital gains of $93 million before taxes ""strong.""","O-Ronald O-I X-. O-Man X-##dle O-, O-analyst O-at O-Sanford O-C X-. O-Bernstein O-& O-Co X-. O-, O-called O-C X-##itic X-##or X-##p O-' X-s O-venture X-- X-capital O-gains O-of B-$-$ O-93 O-million O-before O-taxes O-"" O-strong O-. O-"""
"As a result, Wells Fargo's net interest income rose $36.3 million, or 7%, to $537 million for the quarter.","O-As O-a O-result O-, O-Wells O-Fargo O-' X-s O-net O-interest O-income O-rose B-$-$ O-36 X-. X-3 O-million O-, O-or O-7 O-% O-, O-to B-$-$ O-53 X-##7 O-million O-for O-the O-quarter O-."
"Non-interest income fell slightly to $191.9 million from $193.3 million, while Wells Fargo continued to rigorously control non-interest expense, which was almost flat at $393.4 million.","O-Non X-- X-interest O-income O-fell O-slightly O-to B-$-$ O-191 X-. X-9 O-million O-from B-$-$ O-193 X-. X-3 O-million O-, O-while O-Wells O-Fargo O-continued O-to O-rigorous X-##ly O-control O-non X-- X-interest O-expense O-, O-which O-was O-almost O-flat O-at B-$-$ O-39 X-##3 X-. X-4 O-million O-."
"Wells Fargo has sold all of its non-trade loans made to less-developed countries, and managed to partly reverse the sharp rise in domestic non-accrual loans, which fell 8% from the previous quarter to $806.8 million from $880.9 million.","O-Wells O-Fargo O-has O-sold O-all O-of O-its O-non X-- X-trade O-loans O-made O-to O-less X-- X-developed O-countries O-, O-and O-managed O-to O-partly O-reverse O-the O-sharp O-rise O-in O-domestic O-non X-- X-a X-##cc X-##ru X-##al O-loans O-, O-which O-fell O-8 O-% O-from O-the O-previous O-quarter O-to B-$-$ O-80 X-##6 X-. X-8 O-million O-from B-$-$ O-88 X-##0 X-. X-9 O-million O-."
"Wells Fargo is rebuilding its loan-loss reserve, which increased to $711 million at Sept. 30 from $664 million the previous quarter but was down from $852 million a year ago, when the bank still had some shaky foreign loans.","O-Wells O-Fargo O-is O-rebuilding O-its O-loan X-- X-loss O-reserve O-, O-which O-increased O-to B-$-$ O-71 X-##1 O-million O-at O-Sept X-. O-30 O-from B-$-$ O-66 X-##4 O-million O-the O-previous O-quarter O-but O-was O-down O-from B-$-$ O-85 X-##2 O-million O-a O-year O-ago O-, O-when O-the O-bank O-still O-had O-some O-shaky O-foreign O-loans O-."
"Manufacturers Hanover said that excluding the addition to its reserves, certain tax benefits, and a one-time $16 million gain on the sale of an interest in a foreign leasing company, third-quarter earnings were $75 million.","O-Man X-##uf X-##act X-##urers O-Hanover O-said O-that O-excluding O-the O-addition O-to O-its O-reserves O-, O-certain O-tax O-benefits O-, O-and O-a O-one X-- X-time B-$-$ O-16 O-million O-gain O-on O-the O-sale O-of O-an O-interest O-in O-a O-foreign O-le X-##asing O-company O-, O-third X-- X-quarter O-earnings O-were B-$-$ O-75 O-million O-."
"The comparable year-earlier number was $56 million, a spokesman said.","O-The O-comparable O-year X-- X-earlier O-number O-was B-$-$ O-56 O-million O-, O-a O-spokesman O-said O-."
"The bank's additional provisions brought reserves for loans to less-developed countries to $2.4 billion, covering 36% of its medium and long-term loans outstanding to these nations.","O-The O-bank O-' X-s O-additional O-provisions O-brought O-reserves O-for O-loans O-to O-less X-- X-developed O-countries O-to B-$-$ O-2 X-. X-4 O-billion O-, O-covering O-36 O-% O-of O-its O-medium O-and O-long X-- X-term O-loans O-outstanding O-to O-these O-nations O-."
"Fees from syndicating loans dropped 48%, to $21 million.","O-Fe X-##es O-from O-s X-##yn X-##dic X-##ating O-loans O-dropped O-48 O-% O-, O-to B-$-$ O-21 O-million O-."
"Expenses unrelated to interest rose 5.4%, to $541 million.","O-Ex X-##pen X-##ses O-unrelated O-to O-interest O-rose O-5 X-. X-4 O-% O-, O-to B-$-$ O-54 X-##1 O-million O-."
"Net interest income in the third quarter edged up 1.4%, to $317.7 million.","O-Net O-interest O-income O-in O-the O-third O-quarter O-edged O-up O-1 X-. X-4 O-% O-, O-to B-$-$ O-31 X-##7 X-. X-7 O-million O-."
"Trust income grew 15%, to $49.9 million, while service charges, fees and commissions increased 22%, to $79.4 million.","O-Trust O-income O-grew O-15 O-% O-, O-to B-$-$ O-49 X-. X-9 O-million O-, O-while O-service O-charges O-, O-fees O-and O-commissions O-increased O-22 O-% O-, O-to B-$-$ O-79 X-. X-4 O-million O-."
"The bank's total allowance for credit losses was $502.1 million, or 1.82% of total loans.","O-The O-bank O-' X-s O-total O-allowance O-for O-credit O-losses O-was B-$-$ O-50 X-##2 X-. X-1 O-million O-, O-or O-1 X-. X-82 O-% O-of O-total O-loans O-."
The market for $200 billion of high-yield junk bonds regained some of its footing as the Dow Jones Industrial Average rebounded from Friday's plunge.,O-The O-market O-for B-$-$ O-200 O-billion O-of O-high X-- X-yield O-junk O-bonds O-regained O-some O-of O-its O-footing O-as O-the O-Dow O-Jones O-Industrial O-Average O-re X-##bound X-##ed O-from O-Friday O-' X-s O-p X-##lung X-##e O-.
"Yesterday's rally was led by RJR Holdings 13 3/4% bonds, which initially tumbled three points, or $30 for each $1,000 face amount, to 96 1/4 before rebounding to 99 3/4.","O-Yesterday O-' X-s O-rally O-was O-led O-by O-R X-##J X-##R O-Holdings O-13 O-3 O-/ O-4 O-% O-bonds O-, O-which O-initially O-tumbled O-three O-points O-, O-or B-$-$ O-30 O-for O-each B-$-$ O-1 X-, X-000 O-face O-amount O-, O-to O-96 O-1 O-/ O-4 O-before O-re X-##bound X-##ing O-to O-99 O-3 O-/ O-4 O-."
"Almost $8 billion of junk bonds that are considered untradeable include issues from SCI TV, Gillette Holdings (not related to Gillette Co.), Interco, Seaman Furniture, Allied Stores, Federated Department Stores, National Gypsum, M.D.C. Holdings, Micropolis, Leaseway Transportation and Price Communications.","O-Almost B-$-$ O-8 O-billion O-of O-junk O-bonds O-that O-are O-considered O-un X-##tra X-##dea X-##ble O-include O-issues O-from O-SC X-##I O-TV O-, O-Gill X-##ette O-Holdings O-( O-not O-related O-to O-Gill X-##ette O-Co X-. O-) O-, O-Inter X-##co O-, O-Sea X-##man O-Fu X-##rn X-##iture O-, O-Allied O-Stores O-, O-Fed X-##erated O-Department O-Stores O-, O-National O-G X-##y X-##ps X-##um O-, O-M X-. X-D X-. X-C O-. O-Holdings O-, O-Micro X-##polis O-, O-Lea X-##se X-##way O-Transportation O-and O-Price O-Communications O-."
"Some analysts estimated that paper losses could total $500 million for the takeover traders, known as risk arbitragers, or ""arbs.""","O-Some O-analysts O-estimated O-that O-paper O-losses O-could O-total B-$-$ O-500 O-million O-for O-the O-takeover O-traders O-, O-known O-as O-risk O-a X-##rb X-##it X-##rage X-##rs O-, O-or O-"" O-a X-##rb X-##s O-. O-"""
"But in the wake of Friday's announcement that a UAL management-union group couldn't obtain bank financing for its agreement to buy UAL at $300 a share, UAL stock plunged $56.875 yesterday to close at $222.875 a share in New York Stock Exchange composite trading of nearly 2.3 million shares.","O-But O-in O-the O-wake O-of O-Friday O-' X-s O-announcement O-that O-a O-U X-##AL O-management X-- X-union O-group O-could O-n X-' X-t O-obtain O-bank O-financing O-for O-its O-agreement O-to O-buy O-U X-##AL O-at B-$-$ O-300 O-a O-share O-, O-U X-##AL O-stock O-plunged B-$-$ O-56 X-. X-87 X-##5 O-yesterday O-to O-close O-at B-$-$ O-222 X-. X-87 X-##5 O-a O-share O-in O-New O-York O-Stock O-Exchange O-composite O-trading O-of O-nearly O-2 X-. X-3 O-million O-shares O-."
