Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of O-225 O-stocks O-jumped O-52 X-##7 X-. X-39 O-points B-TO-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"It has been waging an all-out campaign to beat back a proposal, pushed by Utah bike groups, to allow the cycles in federally designated wilderness areas, where they are now prohibited.","O-It O-has O-been O-wa X-##ging O-an O-all X-- X-out O-campaign B-TO-to O-beat O-back O-a O-proposal O-, O-pushed O-by O-Utah O-bike O-groups O-, B-TO-to O-allow O-the O-cycles O-in O-federally O-designated O-wilderness O-areas O-, O-where O-they O-are O-now O-prohibited O-."
"Pressure from these members prompted the club recently to soften its anti-bike rhetoric; it no longer, for example, lumps the bikes into the same category as motorcycles and other terrain-marring off-road vehicles.","O-Press X-##ure O-from O-these O-members O-prompted O-the O-club O-recently B-TO-to O-soft X-##en O-its O-anti X-- X-bike O-rhetoric O-; O-it O-no O-longer O-, O-for O-example O-, O-lump X-##s O-the O-bikes O-into O-the O-same O-category O-as O-motorcycles O-and O-other O-terrain X-- X-ma X-##rring O-off X-- X-road O-vehicles O-."
But the club still insists that public lands ought to be closed to the bikes unless studies indicate the bikes won't injure the environment or other users.,O-But O-the O-club O-still O-insists O-that O-public O-lands O-ought B-TO-to O-be O-closed O-to O-the O-bikes O-unless O-studies O-indicate O-the O-bikes O-w X-##o O-n X-' X-t O-in X-##jure O-the O-environment O-or O-other O-users O-.
"To fight back, activists such as Mr. Langton are forming groups to lobby land managers over access issues and undertake education programs to show that the bikes can responsibly share trails.","B-TO-To O-fight O-back O-, O-activists O-such O-as O-Mr X-. O-Lang X-##ton O-are O-forming O-groups B-TO-to O-lobby O-land O-managers O-over O-access O-issues O-and O-undertake O-education O-programs B-TO-to O-show O-that O-the O-bikes O-can O-re X-##sp X-##ons X-##ibly O-share O-trails O-."
"Mr. Langton's group, Concerned Off-Road Bicyclists Association, mounted petition drives to help keep open certain Santa Monica Mountain trails designated for closing.","O-Mr X-. O-Lang X-##ton O-' X-s O-group O-, O-Con X-##cer X-##ned O-Off X-- X-Road O-B X-##ic X-##y X-##c X-##lists O-Association O-, O-mounted O-petition O-drives B-TO-to O-help O-keep O-open O-certain O-Santa O-Monica O-Mountain O-trails O-designated O-for O-closing O-."
"These groups have been trying to improve the mountain biker's image; in the San Francisco-area park district where a ranger was clobbered by a cyclist this summer bikers have formed a volunteer patrol to help rangers enforce regulations, and to school riders in proper trail etiquette.","O-These O-groups O-have O-been O-trying B-TO-to O-improve O-the O-mountain O-bike X-##r O-' X-s O-image O-; O-in O-the O-San O-Francisco X-- X-area O-park O-district O-where O-a O-range X-##r O-was O-c X-##lo X-##bbe X-##red O-by O-a O-cyclist O-this O-summer O-bike X-##rs O-have O-formed O-a O-volunteer O-patrol B-TO-to O-help O-range X-##rs O-enforce O-regulations O-, O-and O-to O-school O-riders O-in O-proper O-trail O-et X-##ique X-##tte O-."
They wanted a machine that would allow them to pedal into rugged terrain then inaccessible to cycles.,O-They O-wanted O-a O-machine O-that O-would O-allow O-them B-TO-to O-pedal O-into O-rugged O-terrain O-then O-in X-##ac X-##cess X-##ible O-to O-cycles O-.
"They got a machine more responsive, more stable and in many ways easier to ride than the thin-tired racing bikes that then were the rage.","O-They O-got O-a O-machine O-more O-re X-##sp X-##ons X-##ive O-, O-more O-stable O-and O-in O-many O-ways O-easier B-TO-to O-ride O-than O-the O-thin X-- X-tired O-racing O-bikes O-that O-then O-were O-the O-rage O-."
We're sorry to report that on Monday President Bush accepted the resignation of William Allen as chairman of the U.S. Civil Rights Commission.,O-We O-' X-re O-sorry B-TO-to O-report O-that O-on O-Monday O-President O-Bush O-accepted O-the O-resignation O-of O-William O-Allen O-as O-chairman O-of O-the O-U X-. X-S X-. O-Civil O-Rights O-Commission O-.
"Mr. Allen's commissioners voted to call his unread speech ""thoughtless, disgusting and unnecessarily inflammatory.""","O-Mr X-. O-Allen O-' X-s O-commissioners O-voted B-TO-to O-call O-his O-un X-##read O-speech O-"" O-thought X-##less O-, O-disgusting O-and O-un X-##ne X-##cess X-##arily O-inflammatory O-. O-"""
"He said that other participants in the conference ""do not believe that the rights of Americans should be guaranteed to citizens who are homosexual,"" but that ""I mean to persuade you to the opposite view.""","O-He O-said O-that O-other O-participants O-in O-the O-conference O-"" O-do O-not O-believe O-that O-the O-rights O-of O-Americans O-should O-be O-guaranteed O-to O-citizens O-who O-are O-homosexual O-, X-"" O-but O-that O-"" O-I O-mean B-TO-to O-persuade O-you O-to O-the O-opposite O-view O-. O-"""
"He recalled to the audience a ""strange, infelicitous"" analogy he once heard arguing ""now that we have finally recognized that American blacks have rights, we need to do the same for animals.""","O-He O-recalled O-to O-the O-audience O-a O-"" O-strange O-, O-in X-##fe X-##licit X-##ous O-"" O-analogy O-he O-once O-heard O-arguing O-"" O-now O-that O-we O-have O-finally O-recognized O-that O-American O-blacks O-have O-rights O-, O-we O-need B-TO-to O-do O-the O-same O-for O-animals O-. O-"""
"Mr. Allen objected to this analogy because it seems to ""assimilate the status of blacks to that of animals -- as a mere project of charity, of humaneness.""","O-Mr X-. O-Allen O-objected O-to O-this O-analogy O-because O-it O-seems B-TO-to O-"" O-ass X-##im X-##ila X-##te O-the O-status O-of O-blacks O-to O-that O-of O-animals O-- X-- O-as O-a O-mere O-project O-of O-charity O-, O-of O-human X-##ene X-##ss O-. O-"""
"He says the title of his speech was to make his point that Americans have rights as individuals, not as members of certain select groups.","O-He O-says O-the O-title O-of O-his O-speech O-was B-TO-to O-make O-his O-point O-that O-Americans O-have O-rights O-as O-individuals O-, O-not O-as O-members O-of O-certain O-select O-groups O-."
"Instead of lobbying for special treatment, Mr. Allen said that homosexuals and others should try to ensure equal treatment under the law and not aim for special privileges that would risk ""invidious retrenchment with government complicity.""","O-Instead O-of O-lobbying O-for O-special O-treatment O-, O-Mr X-. O-Allen O-said O-that O-homosexual X-##s O-and O-others O-should O-try B-TO-to O-ensure O-equal O-treatment O-under O-the O-law O-and O-not O-aim O-for O-special O-privileges O-that O-would O-risk O-"" O-in X-##vid X-##ious O-re X-##tre X-##nch X-##ment O-with O-government O-com X-##p X-##licity O-. O-"""
The three most important things to understand about Mr. Allen is that he is a black conservative intellectual -- a triple threat to the liberal establishment.,O-The O-three O-most O-important O-things B-TO-to O-understand O-about O-Mr X-. O-Allen O-is O-that O-he O-is O-a O-black O-conservative O-intellectual O-- X-- O-a O-triple O-threat O-to O-the O-liberal O-establishment O-.
He last made waves when he dared to defend an Indian girl who had been adopted by non-Indian parents off her reservation.,O-He O-last O-made O-waves O-when O-he O-dared B-TO-to O-defend O-an O-Indian O-girl O-who O-had O-been O-adopted O-by O-non X-- X-Indian O-parents O-off O-her O-reservation O-.
"Indeed, the gap is so large that Mr. Allen's critics refuse to engage the debate.","O-Indeed O-, O-the O-gap O-is O-so O-large O-that O-Mr X-. O-Allen O-' X-s O-critics O-refuse B-TO-to O-engage O-the O-debate O-."
Their effort to run him out of Washington is an embarrassment to the original purpose of their own movement.,O-Their O-effort B-TO-to O-run O-him O-out O-of O-Washington O-is O-an O-embarrassment O-to O-the O-original O-purpose O-of O-their O-own O-movement O-.
"Efforts by a federal mediator to reignite talks between Boeing Co. and the Machinists union apparently failed, and no further meetings are scheduled.","O-E X-##ff X-##ort X-##s O-by O-a O-federal O-media X-##tor B-TO-to O-reign X-##ite O-talks O-between O-Boeing O-Co X-. O-and O-the O-Mac X-##hin X-##ists O-union O-apparently O-failed O-, O-and O-no O-further O-meetings O-are O-scheduled O-."
"As the strike enters its 15th day today, some members are getting nervous, the spokesman conceded, but the majority of the 55,000 Machinists are prepared to ""wait it out as long as it takes.""","O-As O-the O-strike O-enters O-its O-15th O-day O-today O-, O-some O-members O-are O-getting O-nervous O-, O-the O-spokesman O-conceded O-, O-but O-the O-majority O-of O-the O-55 X-, X-000 O-Mac X-##hin X-##ists O-are O-prepared B-TO-to O-"" O-wait O-it O-out O-as O-long O-as O-it O-takes O-. O-"""
Helionetics Inc. said it agreed to team with a unit of Minneapolis-based Honeywell Inc. to provide power amplifiers for a new military sonar system being proposed by Honeywell.,O-He X-##lion X-##etics O-Inc O-. O-said O-it O-agreed B-TO-to O-team O-with O-a O-unit O-of O-Minneapolis X-- X-based O-Honey X-##well O-Inc O-. B-TO-to O-provide O-power O-amplifier X-##s O-for O-a O-new O-military O-son X-##ar O-system O-being O-proposed O-by O-Honey X-##well O-.
"In July, Par and a 60%-owned unit agreed to plead guilty in that inquiry, as did another former Par official.","O-In O-July O-, O-Pa X-##r O-and O-a O-60 O-% X-- O-owned O-unit O-agreed B-TO-to O-plea X-##d O-guilty O-in O-that O-inquiry O-, O-as O-did O-another O-former O-Pa X-##r O-official O-."
"Perry Levine, chairman, said Mr. Sawyer had ""taken significant steps"" to restore the company's credibility and sense of professionalism and integrity.","O-Perry O-Levine O-, O-chairman O-, O-said O-Mr X-. O-Sawyer O-had O-"" O-taken O-significant O-steps O-"" B-TO-to O-restore O-the O-company O-' X-s O-credibility O-and O-sense O-of O-professional X-##ism O-and O-integrity O-."
The company said the negative factors are expected to continue into next year.,O-The O-company O-said O-the O-negative O-factors O-are O-expected B-TO-to O-continue O-into O-next O-year O-.
Banc One Corp. said Frank E. McKinney plans to retire as the bank holding company's president effective Jan. 12.,O-Ban X-##c O-One O-Corp O-. O-said O-Frank O-E O-. O-M X-##c X-##K X-##inn X-##ey O-plans B-TO-to O-retire O-as O-the O-bank O-holding O-company O-' X-s O-president O-effective O-Jan X-. O-12 O-.
"The company said Mr. McKinney plans to retire because the process of affiliating American Fletcher into Banc One ""is considered completed.""","O-The O-company O-said O-Mr X-. O-M X-##c X-##K X-##inn X-##ey O-plans B-TO-to O-retire O-because O-the O-process O-of O-a X-##ff X-##ilia X-##ting O-American O-Fletcher O-into O-Ban X-##c O-One O-"" O-is O-considered O-completed O-. O-"""
"One unit, called the Escort, uses a new digital signal-processing technology to detect radar signals much sooner than was previously possible, the company said.","O-One O-unit O-, O-called O-the O-E X-##sco X-##rt O-, O-uses O-a O-new O-digital O-signal X-- X-processing O-technology B-TO-to O-detect O-radar O-signals O-much O-sooner O-than O-was O-previously O-possible O-, O-the O-company O-said O-."
Conservatives have an important decision to make this fall.,O-Conservatives O-have O-an O-important O-decision B-TO-to O-make O-this O-fall O-.
"At the recent meetings of the World Bank and International Monetary Fund, the Bush administration announced its intention to decide by yearend the size of the next increase in the IMF's capital base.","O-At O-the O-recent O-meetings O-of O-the O-World O-Bank O-and O-International O-Mon X-##eta X-##ry O-Fund O-, O-the O-Bush O-administration O-announced O-its O-intention B-TO-to O-decide O-by O-year X-##end O-the O-size O-of O-the O-next O-increase O-in O-the O-I X-##MF O-' X-s O-capital O-base O-."
At least three other factors have encouraged the IMF to insist on increased capital.,O-At O-least O-three O-other O-factors O-have O-encouraged O-the O-I X-##MF B-TO-to O-insist O-on O-increased O-capital O-.
"First, it argues that its capital base must be increased in order to maintain its size relative to world financial markets, for which it feels some responsibility.","O-First O-, O-it O-argues O-that O-its O-capital O-base O-must O-be O-increased O-in O-order B-TO-to O-maintain O-its O-size O-relative O-to O-world O-financial O-markets O-, O-for O-which O-it O-feels O-some O-responsibility O-."
"Third, the IMF would like to meet Japan's request for increased ownership (currently 4.5%).","O-Third O-, O-the O-I X-##MF O-would O-like B-TO-to O-meet O-Japan O-' X-s O-request O-for O-increased O-ownership O-( O-currently O-4 X-. X-5 O-% X-) O-."
"They question whether the IMF has any role in developing countries, given its original mandate to assist industrial countries in balance-of-payments emergencies.","O-They O-question O-whether O-the O-I X-##MF O-has O-any O-role O-in O-developing O-countries O-, O-given O-its O-original O-mandate B-TO-to O-assist O-industrial O-countries O-in O-balance X-- X-of X-- X-payments O-emerge X-##ncies O-."
"The last U.S. congressional authorization, in 1983, was a political donnybrook and carried a $6 billion housing program along with it to secure adequate votes.","O-The O-last O-U X-. X-S X-. O-congressional O-authorization O-, O-in O-1983 O-, O-was O-a O-political O-don X-##ny X-##brook O-and O-carried O-a O-$ O-6 O-billion O-housing O-program O-along O-with O-it B-TO-to O-secure O-adequate O-votes O-."
The politics of the 1990 congressional authorization are likely to be similar to those of previous authorizations.,O-The O-politics O-of O-the O-1990 O-congressional O-authorization O-are O-likely B-TO-to O-be O-similar O-to O-those O-of O-previous O-authorization X-##s O-.
"A U.S. decision to refuse the IMF its capital increase, or limit it to 25%, would bring a major change in international economic policy, and could not be taken lightly.","O-A O-U X-. X-S X-. O-decision B-TO-to O-refuse O-the O-I X-##MF O-its O-capital O-increase O-, O-or O-limit O-it O-to O-25 O-% O-, O-would O-bring O-a O-major O-change O-in O-international O-economic O-policy O-, O-and O-could O-not O-be O-taken O-lightly O-."
"On the other hand, a decision to increase the IMF's capital would reinforce the central economic role of multilateral institutions in developing countries.","O-On O-the O-other O-hand O-, O-a O-decision B-TO-to O-increase O-the O-I X-##MF O-' X-s O-capital O-would O-reinforce O-the O-central O-economic O-role O-of O-multi X-##late X-##ral O-institutions O-in O-developing O-countries O-."
"The issues are too important to be left to the financial and budget ministries fighting over the size of the capital increase, rather than its purpose.","O-The O-issues O-are O-too O-important B-TO-to O-be O-left O-to O-the O-financial O-and O-budget O-ministries O-fighting O-over O-the O-size O-of O-the O-capital O-increase O-, O-rather O-than O-its O-purpose O-."
"If conservatives don't support an increase in the IMF's capital, then it is incumbent on them to speak up now and explain the alternative.","O-If O-conservative X-##s O-do O-n X-' X-t O-support O-an O-increase O-in O-the O-I X-##MF O-' X-s O-capital O-, O-then O-it O-is O-incumbent O-on O-them B-TO-to O-speak O-up O-now O-and O-explain O-the O-alternative O-."
"Mr. Sloan plans to remain on the board until his current term expires in April 1991, a Lance spokesman said.","O-Mr X-. O-Sloan O-plans B-TO-to O-remain O-on O-the O-board O-until O-his O-current O-term O-ex X-##pire X-##s O-in O-April O-1991 O-, O-a O-Lance O-spokesman O-said O-."
"Shortly thereafter, hysterical articles began to appear predicting that advanced industrial societies would produce a blackened, uninhabitable planet possibly by the turn of the century.","O-Shortly O-thereafter O-, O-h X-##yster X-##ical O-articles O-began B-TO-to O-appear O-predict X-##ing O-that O-advanced O-industrial O-societies O-would O-produce O-a O-black X-##ened O-, O-un X-##in X-##hab X-##ita X-##ble O-planet O-possibly O-by O-the O-turn O-of O-the O-century O-."
"The point was to answer the question in the conference title, not to try to create news stories for the event itself.","O-The O-point O-was B-TO-to O-answer O-the O-question O-in O-the O-conference O-title O-, O-not B-TO-to O-try B-TO-to O-create O-news O-stories O-for O-the O-event O-itself O-."
"Nor was it intended to dictate a set of prescriptive solutions, although various points were raised.","O-Nor O-was O-it O-intended B-TO-to O-di X-##ct X-##ate O-a O-set O-of O-pre X-##s X-##cript X-##ive O-solutions O-, O-although O-various O-points O-were O-raised O-."
"Each speaker was asked to address a specific topic, not deliver a point of view.","O-Each O-speaker O-was O-asked B-TO-to O-address O-a O-specific O-topic O-, O-not O-deliver O-a O-point O-of O-view O-."
"If the media decide to work harder at educating the public about these complex and technical issues, that hardly can be termed non-objective journalism.","O-If O-the O-media O-decide B-TO-to O-work O-harder O-at O-ed X-##uca X-##ting O-the O-public O-about O-these O-complex O-and O-technical O-issues O-, O-that O-hardly O-can O-be O-termed O-non X-- X-objective O-journalism O-."
"The environment can no longer be a normal issue, to be dealt with on a business-as-usual basis with comfortable increments of change.","O-The O-environment O-can O-no O-longer O-be O-a O-normal O-issue O-, B-TO-to O-be O-dealt O-with O-on O-a O-business X-- X-as X-- X-usual O-basis O-with O-comfortable O-in X-##cre X-##ments O-of O-change O-."
"The problems of the environment are so interrelated, so inextricably entwined with our current way of life and so large that it is unlikely we will be able to address them effectively unless major changes are made in less than 10 years.","O-The O-problems O-of O-the O-environment O-are O-so O-inter X-##rel X-##ated O-, O-so O-in X-##ex X-##tric X-##ably O-en X-##twined O-with O-our O-current O-way O-of O-life O-and O-so O-large O-that O-it O-is O-unlikely O-we O-will O-be O-able B-TO-to O-address O-them O-effectively O-unless O-major O-changes O-are O-made O-in O-less O-than O-10 O-years O-."
The consensus from the scientific community is that there is sufficient evidence to advise major policy changes.,O-The O-consensus O-from O-the O-scientific O-community O-is O-that O-there O-is O-sufficient O-evidence B-TO-to O-advise O-major O-policy O-changes O-.
Arkla Inc. said that as part of a program to improve profitability it will take a total of $189 million in after-tax charges by year end.,O-Ark X-##la O-Inc O-. O-said O-that O-as O-part O-of O-a O-program B-TO-to O-improve O-profit X-##ability O-it O-will O-take O-a O-total O-of O-$ O-189 O-million O-in O-after X-- X-tax O-charges O-by O-year O-end O-.
"Arkla said its initial offering of 18% of Arkla Exploration Co. is expected to result in a net gain of about $90 million, which will be used to pay down Arkla debt.","O-Ark X-##la O-said O-its O-initial O-offering O-of O-18 O-% O-of O-Ark X-##la O-Exploration O-Co X-. O-is O-expected B-TO-to O-result O-in O-a O-net O-gain O-of O-about O-$ O-90 O-million O-, O-which O-will O-be O-used B-TO-to O-pay O-down O-Ark X-##la O-debt O-."
"Banks are continuing to go after individual investors, despite falling interest rates.","O-Banks O-are O-continuing B-TO-to O-go O-after O-individual O-investors O-, O-despite O-falling O-interest O-rates O-."
"""Banks want to remain competitive,"" said Norberto Mehl, chairman of Banxquote.","O-"" O-Banks O-want B-TO-to O-remain O-competitive O-, X-"" O-said O-Nor X-##berto O-Me X-##hl O-, O-chairman O-of O-Ban X-##x X-##q X-##uo X-##te O-."
"""This is no time to be playing in the street .","O-"" O-This O-is O-no O-time B-TO-to O-be O-playing O-in O-the O-street O-."
"CDs sold by major brokerage houses, which like jumbo CDs tend to closely follow interest rate trends, also posted larger drops in yields.","O-CDs O-sold O-by O-major O-broker X-##age O-houses O-, O-which O-like O-j X-##um X-##bo O-CDs O-tend B-TO-to O-closely O-follow O-interest O-rate O-trends O-, O-also O-posted O-larger O-drops O-in O-yields O-."
CD yields are generally expected to fall further in coming weeks.,O-CD O-yields O-are O-generally O-expected B-TO-to O-fall O-further O-in O-coming O-weeks O-.
"Despite continuing troubles with problem assets and nonperforming loans, the trust said it expects to be able to maintain or increase the rate of distributions because of operations of joint-venture properties.","O-Despite O-continuing O-troubles O-with O-problem O-assets O-and O-non X-##per X-##form X-##ing O-loans O-, O-the O-trust O-said O-it O-expects B-TO-to O-be O-able B-TO-to O-maintain O-or O-increase O-the O-rate O-of O-distributions O-because O-of O-operations O-of O-joint X-- X-venture O-properties O-."
"Canada, which is preparing to speed up tariff cuts with the U.S., recorded a 47% narrowing in its trade surplus with the U.S. in August, Statistics Canada, a federal agency, reported.","O-Canada O-, O-which O-is O-preparing B-TO-to O-speed O-up O-ta X-##riff O-cuts O-with O-the O-U X-. X-S X-. O-, O-recorded O-a O-47 O-% O-narrowing O-in O-its O-trade O-surplus O-with O-the O-U X-. X-S X-. O-in O-August O-, O-Statistics O-Canada O-, O-a O-federal O-agency O-, O-reported O-."
"The U.S. and Canada, which do more trade than any other pair of nations, are to meet next month to arrange an acceleration of planned tariff cuts under the U.S.-Canada free trade agreement.","O-The O-U X-. X-S X-. O-and O-Canada O-, O-which O-do O-more O-trade O-than O-any O-other O-pair O-of O-nations O-, O-are B-TO-to O-meet O-next O-month B-TO-to O-arrange O-an O-acceleration O-of O-planned O-ta X-##riff O-cuts O-under O-the O-U X-. X-S X-. O-- O-Canada O-free O-trade O-agreement O-."
"The remainder were to be phased out in five or 10 annual installments, with all tariffs eliminated by January 1998.","O-The O-remainder O-were B-TO-to O-be O-phased O-out O-in O-five O-or O-10 O-annual O-installment X-##s O-, O-with O-all O-ta X-##riff X-##s O-eliminated O-by O-January O-1998 O-."
The two countries aim to reach an agreement by early December on a package of accelerated tariff cuts that would take effect early next year.,O-The O-two O-countries O-aim B-TO-to O-reach O-an O-agreement O-by O-early O-December O-on O-a O-package O-of O-accelerated O-ta X-##riff O-cuts O-that O-would O-take O-effect O-early O-next O-year O-.
The U.S. Commerce Department is planning to try out similar trips on U.S. businessmen in coming months under its Canada First!,O-The O-U X-. X-S X-. O-Commerce O-Department O-is O-planning B-TO-to O-try O-out O-similar O-trips O-on O-U X-. X-S X-. O-businessmen O-in O-coming O-months O-under O-its O-Canada O-First O-!
"Participants in the U.S. missions to Canada are to be assisted by members of the Service Corps of Retired Executives, a volunteer group, in dealing with their export challenges.","O-Part X-##ici X-##pants O-in O-the O-U X-. X-S X-. O-missions O-to O-Canada O-are B-TO-to O-be O-assisted O-by O-members O-of O-the O-Service O-Corps O-of O-Retired O-Executive X-##s O-, O-a O-volunteer O-group O-, O-in O-dealing O-with O-their O-export O-challenges O-."
"Merck, Rahway, N.J., continued to lead the industry with a strong sales performance in the human and animal health-products segment.","O-Me X-##rc X-##k O-, O-Ra X-##hwa X-##y O-, O-N X-. X-J X-. O-, O-continued B-TO-to O-lead O-the O-industry O-with O-a O-strong O-sales O-performance O-in O-the O-human O-and O-animal O-health X-- X-products O-segment O-."
"Spurred by growth in world-wide sales of the company's prescription drugs, Warner-Lambert said 1989 will be the best year in its history, with per-share earnings expected to increase more than 20% to about $6.10.","O-S X-##pur X-##red O-by O-growth O-in O-world X-- X-wide O-sales O-of O-the O-company O-' X-s O-prescription O-drugs O-, O-Warner X-- X-Lambert O-said O-1989 O-will O-be O-the O-best O-year O-in O-its O-history O-, O-with O-per X-- X-share O-earnings O-expected B-TO-to O-increase O-more O-than O-20 O-% O-to O-about O-$ O-6 X-. X-10 O-."
"Earnings continued to pace sales because of a lower tax rate, profit from the renegotiation of the debt instrument received from Faberge Inc. in connection with Lilly's sale of Elizabeth Arden Inc. in 1987, and net proceeds from the settlement of patent litigation at Lilly's Hybritech Inc. unit.","O-E X-##ar X-##ning X-##s O-continued B-TO-to O-pace O-sales O-because O-of O-a O-lower O-tax O-rate O-, O-profit O-from O-the O-re X-##ne X-##got X-##iation O-of O-the O-debt O-instrument O-received O-from O-Faber X-##ge O-Inc O-. O-in O-connection O-with O-Lilly O-' X-s O-sale O-of O-Elizabeth O-A X-##rden O-Inc O-. O-in O-1987 O-, O-and O-net O-proceeds O-from O-the O-settlement O-of O-patent O-litigation O-at O-Lilly O-' X-s O-H X-##y X-##bri X-##tech O-Inc O-. O-unit O-."
"Higher sales of pesticides and other plant-science products more than offset a slight decline in the sales of animal-health products to fuel the increase in world-wide agricultural product sales, Lilly said.","O-Higher O-sales O-of O-p X-##est X-##icides O-and O-other O-plant X-- X-science O-products O-more O-than O-offset O-a O-slight O-decline O-in O-the O-sales O-of O-animal X-- X-health O-products B-TO-to O-fuel O-the O-increase O-in O-world X-- X-wide O-agricultural O-product O-sales O-, O-Lilly O-said O-."
"Later, however, the company agreed to meet on Monday with the Seattle Professional Engineering Employees Association after a federal mediator intervened, according to the union.","O-Later O-, O-however O-, O-the O-company O-agreed B-TO-to O-meet O-on O-Monday O-with O-the O-Seattle O-Professional O-Engineering O-Em X-##p X-##loy X-##ees O-Association O-after O-a O-federal O-media X-##tor O-intervened O-, O-according O-to O-the O-union O-."
"A spokesman for the engineers said the company asked the union to reduce its demands, which included a 19% pay hike in the first year and 8% in the second and third years.","O-A O-spokesman O-for O-the O-engineers O-said O-the O-company O-asked O-the O-union B-TO-to O-reduce O-its O-demands O-, O-which O-included O-a O-19 O-% O-pay O-hike O-in O-the O-first O-year O-and O-8 O-% O-in O-the O-second O-and O-third O-years O-."
"Meanwhile, a federal mediator is scheduled to meet today with Boeing officials and representatives of 55,000 striking Machinists.","O-Meanwhile O-, O-a O-federal O-media X-##tor O-is O-scheduled B-TO-to O-meet O-today O-with O-Boeing O-officials O-and O-representatives O-of O-55 X-, X-000 O-striking O-Mac X-##hin X-##ists O-."
"""It will take several meetings to resolve this,"" said a spokesman for the Machinists union.","O-"" O-It O-will O-take O-several O-meetings B-TO-to O-resolve O-this O-, X-"" O-said O-a O-spokesman O-for O-the O-Mac X-##hin X-##ists O-union O-."
"""We don't want to bring back something the members will reject.""","O-"" O-We O-do O-n X-' X-t O-want B-TO-to O-bring O-back O-something O-the O-members O-will O-reject O-. O-"""
"By yesterday morning, much of the world was still unable to reach San Francisco by telephone.","O-By O-yesterday O-morning O-, O-much O-of O-the O-world O-was O-still O-unable B-TO-to O-reach O-San O-Francisco O-by O-telephone O-."
"For more than the past year, even the rumor of a major West Coast refinery shutdown has been enough to spark a futures rally because the gasoline market is so tight.","O-For O-more O-than O-the O-past O-year O-, O-even O-the O-rumor O-of O-a O-major O-West O-Coast O-re X-##finery O-shut X-##down O-has O-been O-enough B-TO-to O-spark O-a O-future X-##s O-rally O-because O-the O-gasoline O-market O-is O-so O-tight O-."
"But yesterday, as the morning wore on, some major West Coast refinery operators -- including Chevron Corp., Exxon Corp. and the Shell Oil Co. unit of Royal Dutch/Shell Group -- said their refineries weren't damaged and were continuing to operate normally.","O-But O-yesterday O-, O-as O-the O-morning O-wore O-on O-, O-some O-major O-West O-Coast O-re X-##finery O-operators O-- X-- O-including O-Ch X-##ev X-##ron O-Corp X-. O-, O-Ex X-##xon O-Corp X-. O-and O-the O-Shell O-Oil O-Co X-. O-unit O-of O-Royal O-Dutch O-/ O-Shell O-Group O-- X-- O-said O-their O-re X-##fine X-##ries O-were O-n X-' X-t O-damaged O-and O-were O-continuing B-TO-to O-operate O-normally O-."
"""It's hard to imagine how the markets were speculating, given that nobody could get through to San Francisco,"" said one amazed oil company executive.","O-"" O-It O-' X-s O-hard B-TO-to O-imagine O-how O-the O-markets O-were O-s X-##pec X-##ulating O-, O-given O-that O-nobody O-could O-get O-through O-to O-San O-Francisco O-, X-"" O-said O-one O-amazed O-oil O-company O-executive O-."
"According to one analyst, workers at the Cananea copper mine in Mexico, which hasn't been operating since it was declared bankrupt by the Mexican government in late August, are set to return to work.","O-According O-to O-one O-analyst O-, O-workers O-at O-the O-Can X-##ane X-##a O-copper O-mine O-in O-Mexico O-, O-which O-has O-n X-' X-t O-been O-operating O-since O-it O-was O-declared O-bankrupt O-by O-the O-Mexican O-government O-in O-late O-August O-, O-are O-set B-TO-to O-return O-to O-work O-."
The analyst said it will take about two to three months before the mine begins to produce copper in significant quantities.,O-The O-analyst O-said O-it O-will O-take O-about O-two B-TO-to O-three O-months O-before O-the O-mine O-begins B-TO-to O-produce O-copper O-in O-significant O-quantities O-.
"The first analyst said that the Japanese, as well as the Chinese, bought copper earlier in the week in London, but that this purchasing has since slackened as the supply situation, at least over the long term, appears to have improved.","O-The O-first O-analyst O-said O-that O-the O-Japanese O-, O-as O-well O-as O-the O-Chinese O-, O-bought O-copper O-earlier O-in O-the O-week O-in O-London O-, O-but O-that O-this O-purchasing O-has O-since O-slack X-##ened O-as O-the O-supply O-situation O-, O-at O-least O-over O-the O-long O-term O-, O-appears B-TO-to O-have O-improved O-."
"""Now that the supply situation seems to be improving, it would be best for traders to switch their concentration to the demand side.""","O-"" O-Now O-that O-the O-supply O-situation O-seems B-TO-to O-be O-improving O-, O-it O-would O-be O-best O-for O-traders B-TO-to O-switch O-their O-concentration O-to O-the O-demand O-side O-. O-"""
"According to one dealer, Japan said it has only 40,000 tons of sugar remaining to be shipped to it this year by Cuba under current commitments.","O-According O-to O-one O-dealer O-, O-Japan O-said O-it O-has O-only O-40 X-, X-000 O-tons O-of O-sugar O-remaining B-TO-to O-be O-shipped O-to O-it O-this O-year O-by O-Cuba O-under O-current O-commitments O-."
One analyst said he thought the market continued to be supported to some degree by a delay in the Cuban sugar harvest caused by adverse weather.,O-One O-analyst O-said O-he O-thought O-the O-market O-continued B-TO-to O-be O-supported O-to O-some O-degree O-by O-a O-delay O-in O-the O-Cuban O-sugar O-harvest O-caused O-by O-adverse O-weather O-.
